gameday	hoamTeam	guestTeam	hoamResultFactor	homeTotalGoalDiff	guestTotalGoalDiff	homeTeamGoalsDiffAtHome	homeTeamGoalsDiffAway	guestTeamGoalsDiffAtHome	guestTeamGoalsDiffAway	hoamTeamAvgPoints	guestTeamAvgPoints
1	Rapid	Mattersburg	U	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
1	WAC	Salzburg	N	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
1	LASK	Admira	S	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
1	Altach	Austria	S	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
1	Graz	SKN	S	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
2	Salzburg	LASK	U	2.00000000	3.00000000	0.00000000	2.00000000	3.00000000	0.00000000	3.00000000	3.00000000
2	Mattersburg	WAC	S	2.00000000	-2.00000000	0.00000000	0.00000000	-2.00000000	0.00000000	1.00000000	0.00000000
2	SKN	Rapid	N	2.00000000	0.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	1.00000000
2	Austria	Graz	N	0.00000000	1.00000000	0.00000000	-3.00000000	1.00000000	0.00000000	0.00000000	3.00000000
2	Admira	Altach	S	0.00000000	3.00000000	0.00000000	-3.00000000	3.00000000	0.00000000	0.00000000	3.00000000
3	LASK	SKN	S	2.00000000	-2.00000000	3.00000000	0.00000000	-3.00000000	-1.00000000	2.00000000	0.00000000
3	Salzburg	Admira	S	1.00000000	0.00000000	0.00000000	2.00000000	3.00000000	-3.00000000	2.00000000	1.50000000
3	WAC	Altach	S	-1.00000000	0.00000000	-2.00000000	-1.00000000	3.00000000	-3.00000000	0.00000000	1.50000000
3	Rapid	Austria	U	2.00000000	-2.00000000	0.00000000	3.00000000	-1.00000000	-3.00000000	2.00000000	0.00000000
3	Mattersburg	Graz	N	1.50000000	1.00000000	1.00000000	0.00000000	1.00000000	1.00000000	2.00000000	3.00000000
4	Altach	Salzburg	N	1.33333333	2.00000000	3.00000000	-2.00000000	2.00000000	2.00000000	1.00000000	2.33333333
4	SKN	Mattersburg	U	-0.33333333	0.00000000	-3.00000000	-1.50000000	0.00000000	0.00000000	0.00000000	1.33333333
4	Austria	LASK	S	0.33333333	1.66666667	-1.00000000	-1.50000000	2.50000000	0.00000000	0.33333333	2.33333333
4	Graz	WAC	S	2.33333333	-0.66666667	1.00000000	1.00000000	-0.50000000	-1.00000000	3.00000000	1.00000000
4	Admira	Rapid	S	1.33333333	1.00000000	3.00000000	-3.50000000	0.00000000	3.00000000	1.00000000	1.66666667
5	Rapid	Graz	N	1.25000000	1.00000000	0.00000000	0.50000000	1.00000000	1.00000000	1.25000000	3.00000000
5	WAC	Admira	S	0.00000000	-0.50000000	-0.50000000	-1.00000000	2.50000000	-3.50000000	0.75000000	1.50000000
5	Salzburg	SKN	S	1.75000000	-1.50000000	2.00000000	1.50000000	-1.50000000	-1.50000000	2.50000000	0.25000000
5	LASK	Altach	U	1.50000000	-0.50000000	2.50000000	-1.00000000	1.00000000	-2.00000000	1.75000000	0.75000000
5	Mattersburg	Austria	N	0.50000000	-0.50000000	0.00000000	0.00000000	0.50000000	-1.50000000	1.25000000	1.00000000
6	WAC	SKN	S	0.40000000	-2.00000000	0.33333333	-1.00000000	-1.50000000	-2.33333333	1.20000000	0.20000000
6	Rapid	LASK	S	0.80000000	0.60000000	-0.33333333	0.50000000	1.66666667	-1.00000000	1.00000000	1.60000000
6	Graz	Salzburg	S	2.00000000	2.20000000	1.00000000	1.00000000	2.66666667	1.50000000	3.00000000	2.60000000
6	Altach	Mattersburg	S	0.60000000	-0.40000000	1.00000000	-1.33333333	-0.66666667	0.00000000	0.80000000	1.00000000
6	Admira	Austria	N	1.20000000	0.00000000	2.50000000	-3.00000000	0.50000000	-0.33333333	1.20000000	1.40000000
7	LASK	Graz	S	1.00000000	1.00000000	1.66666667	-1.00000000	1.00000000	1.00000000	1.33333333	3.00000000
7	SKN	Altach	N	0.16666667	-0.16666667	-1.50000000	-2.00000000	1.00000000	-1.33333333	0.16666667	1.16666667
7	Austria	WAC	U	1.50000000	0.00000000	0.50000000	0.25000000	0.50000000	-1.00000000	1.66666667	1.50000000
7	Mattersburg	Admira	N	0.00000000	-1.00000000	-0.66666667	-0.33333333	1.00000000	-3.00000000	0.83333333	1.00000000
7	Salzburg	Rapid	U	1.83333333	0.16666667	2.66666667	0.66666667	0.00000000	0.50000000	2.16666667	1.33333333
8	Altach	Rapid	U	0.85714286	0.14285714	1.00000000	-0.75000000	0.00000000	0.33333333	1.42857143	1.28571429
8	Admira	Graz	S	1.28571429	0.71428571	1.00000000	-1.00000000	1.00000000	0.50000000	1.28571429	2.57142857
8	WAC	LASK	U	0.71428571	0.42857143	0.50000000	-0.66666667	1.50000000	-1.00000000	1.42857143	1.57142857
8	Mattersburg	Salzburg	N	-0.71428571	1.42857143	-1.75000000	-0.33333333	2.00000000	0.66666667	0.71428571	2.00000000
8	Austria	SKN	S	1.28571429	-1.71428571	0.33333333	0.25000000	-1.33333333	-2.00000000	1.57142857	0.14285714
9	Rapid	WAC	S	1.12500000	0.00000000	0.00000000	0.25000000	0.40000000	-0.66666667	1.25000000	1.37500000
9	SKN	Admira	U	0.12500000	0.00000000	-1.33333333	-2.40000000	1.00000000	-1.00000000	0.12500000	1.50000000
9	Graz	Altach	U	1.62500000	0.00000000	1.00000000	0.20000000	0.75000000	-0.75000000	2.25000000	1.37500000
9	LASK	Mattersburg	U	0.87500000	-1.12500000	1.50000000	-0.75000000	-1.60000000	-0.33333333	1.50000000	0.62500000
9	Salzburg	Austria	U	1.62500000	0.75000000	2.00000000	0.75000000	1.25000000	0.25000000	2.12500000	1.75000000
10	SKN	Graz	N	0.11111111	0.44444444	-1.00000000	-2.40000000	0.75000000	0.20000000	0.22222222	2.11111111
10	Admira	LASK	S	1.22222222	0.33333333	1.00000000	-0.80000000	1.20000000	-0.75000000	1.44444444	1.44444444
10	Mattersburg	Rapid	N	-0.44444444	0.33333333	-1.60000000	-0.25000000	0.40000000	0.25000000	0.66666667	1.44444444
10	Austria	Altach	S	1.44444444	0.00000000	1.25000000	0.20000000	0.75000000	-0.60000000	1.66666667	1.33333333
10	Salzburg	WAC	S	1.44444444	-0.22222222	1.60000000	0.75000000	0.40000000	-1.00000000	2.00000000	1.22222222
11	LASK	Salzburg	N	0.90000000	1.20000000	1.20000000	-1.00000000	1.50000000	0.75000000	1.30000000	2.10000000
11	WAC	Mattersburg	U	0.80000000	-1.00000000	0.40000000	-1.00000000	-1.50000000	-0.25000000	1.10000000	0.60000000
11	Altach	Admira	U	0.60000000	0.20000000	0.75000000	-0.83333333	1.20000000	-0.80000000	1.20000000	1.60000000
11	Rapid	SKN	S	1.20000000	-1.90000000	0.40000000	0.40000000	-1.40000000	-2.40000000	1.60000000	0.20000000
11	Graz	Austria	S	1.60000000	0.80000000	0.75000000	0.66666667	1.40000000	0.20000000	2.20000000	1.80000000
12	Graz	Mattersburg	S	1.72727273	-0.90909091	1.20000000	0.66666667	-1.50000000	-0.20000000	2.27272727	0.63636364
12	SKN	LASK	N	-0.18181818	-0.09090909	-1.40000000	-2.16666667	0.66666667	-1.00000000	0.18181818	1.18181818
12	Altach	WAC	S	0.54545455	-0.27272727	0.60000000	-0.83333333	0.33333333	-1.00000000	1.18181818	1.09090909
12	Admira	Salzburg	U	1.36363636	1.27272727	1.20000000	-0.66666667	1.50000000	1.00000000	1.54545455	2.18181818
12	Austria	Rapid	N	1.36363636	0.45454545	1.40000000	-0.33333333	0.50000000	0.40000000	1.63636364	1.72727273
13	Rapid	Admira	S	1.16666667	0.16666667	0.50000000	0.50000000	1.00000000	-0.66666667	1.83333333	1.50000000
13	Mattersburg	SKN	U	-0.08333333	-1.75000000	-1.50000000	-0.33333333	-1.33333333	-2.16666667	0.58333333	0.16666667
13	Salzburg	Altach	S	1.50000000	-0.08333333	1.50000000	0.83333333	0.66666667	-0.83333333	2.08333333	1.33333333
13	LASK	Austria	U	0.66666667	0.33333333	0.66666667	-0.66666667	1.00000000	-0.33333333	1.33333333	1.50000000
13	WAC	Graz	N	0.83333333	0.91666667	0.33333333	-1.00000000	1.16666667	0.66666667	1.00000000	2.33333333
14	Graz	Rapid	U	1.69230769	0.53846154	1.16666667	0.85714286	0.57142857	0.50000000	2.38461538	1.92307692
14	Altach	LASK	N	0.53846154	0.00000000	0.66666667	-1.00000000	0.57142857	-0.66666667	1.23076923	1.30769231
14	Admira	WAC	U	1.15384615	-0.46153846	1.00000000	-0.71428571	0.00000000	-1.00000000	1.38461538	0.92307692
14	Austria	Mattersburg	N	1.23076923	-0.84615385	1.00000000	-0.28571429	-1.28571429	-0.33333333	1.46153846	0.61538462
14	SKN	Salzburg	N	-0.15384615	1.23076923	-1.33333333	-1.85714286	1.57142857	0.83333333	0.23076923	2.15384615
15	LASK	Rapid	N	0.85714286	0.50000000	0.57142857	-0.28571429	0.57142857	0.42857143	1.42857143	1.85714286
15	Mattersburg	Altach	S	0.14285714	-0.35714286	-1.28571429	0.00000000	0.28571429	-1.00000000	0.78571429	1.14285714
15	SKN	WAC	U	-0.28571429	-0.42857143	-1.42857143	-1.85714286	0.00000000	-0.85714286	0.21428571	0.92857143
15	Austria	Admira	N	1.00000000	0.07142857	0.57142857	-0.28571429	0.85714286	-0.71428571	1.35714286	1.35714286
15	Salzburg	Graz	S	1.64285714	0.92857143	1.57142857	1.00000000	1.00000000	0.85714286	2.21428571	2.28571429
16	Graz	LASK	S	1.46666667	0.06666667	1.00000000	0.12500000	0.37500000	-0.28571429	2.13333333	1.33333333
16	Altach	SKN	S	0.33333333	-1.53333333	0.28571429	-1.00000000	-1.25000000	-1.85714286	1.06666667	0.26666667
16	Admira	Mattersburg	S	1.20000000	-0.53333333	0.85714286	-0.50000000	-1.00000000	0.00000000	1.46666667	0.93333333
16	WAC	Austria	N	0.53333333	0.06666667	0.00000000	-0.75000000	0.37500000	-0.28571429	0.93333333	1.26666667
16	Rapid	Salzburg	N	1.13333333	1.53333333	0.57142857	0.50000000	2.00000000	1.00000000	1.93333333	2.26666667
17	Graz	Admira	S	1.43750000	0.25000000	1.00000000	0.12500000	1.00000000	-0.50000000	2.18750000	1.56250000
17	Salzburg	Mattersburg	S	1.93750000	-0.62500000	2.00000000	1.00000000	-1.00000000	-0.25000000	2.31250000	0.87500000
17	SKN	Austria	S	-0.25000000	0.12500000	-1.25000000	-2.00000000	0.37500000	-0.12500000	0.25000000	1.37500000
17	LASK	WAC	S	0.68750000	-0.43750000	0.37500000	-0.37500000	-0.12500000	-0.75000000	1.25000000	0.87500000
17	Rapid	Altach	N	1.00000000	-0.18750000	0.37500000	0.50000000	0.62500000	-1.00000000	1.81250000	1.18750000
18	WAC	Rapid	U	0.41176471	0.35294118	-0.12500000	-0.88888889	0.22222222	0.50000000	0.82352941	1.70588235
18	Mattersburg	LASK	S	0.17647059	0.11764706	-1.00000000	-0.44444444	0.55555556	-0.37500000	0.82352941	1.35294118
18	Altach	Graz	N	0.58823529	0.82352941	0.62500000	-0.77777778	1.44444444	0.12500000	1.29411765	2.23529412
18	Admira	SKN	S	1.23529412	-1.47058824	1.00000000	-1.00000000	-1.00000000	-2.00000000	1.47058824	0.41176471
18	Austria	Salzburg	U	0.88235294	1.52941176	0.37500000	-0.22222222	2.00000000	1.00000000	1.29411765	2.35294118
19	Rapid	Mattersburg	U	0.83333333	-0.61111111	0.22222222	0.44444444	-0.77777778	-0.44444444	1.66666667	0.94444444
19	Graz	SKN	S	1.66666667	-1.44444444	1.44444444	0.22222222	-1.00000000	-1.88888889	2.27777778	0.38888889
19	LASK	Admira	S	0.72222222	0.00000000	0.55555556	-0.44444444	1.00000000	-1.00000000	1.27777778	1.55555556
19	Altach	Austria	S	0.50000000	0.05555556	0.44444444	-0.77777778	0.33333333	-0.22222222	1.22222222	1.27777778
19	WAC	Salzburg	U	0.38888889	1.44444444	-0.11111111	-0.88888889	2.00000000	0.88888889	0.83333333	2.27777778
20	Salzburg	LASK	U	1.78947368	0.10526316	2.00000000	0.80000000	0.60000000	-0.44444444	2.21052632	1.36842105
20	SKN	Rapid	N	-0.05263158	0.31578947	-1.00000000	-1.80000000	0.20000000	0.44444444	0.36842105	1.63157895
20	Admira	Altach	S	1.21052632	-0.10526316	1.00000000	-1.00000000	0.50000000	-0.77777778	1.47368421	1.31578947
20	Mattersburg	WAC	S	0.31578947	-0.47368421	-0.77777778	-0.40000000	-0.10000000	-0.88888889	0.94736842	0.84210526
20	Austria	Graz	S	0.78947368	0.84210526	0.33333333	-0.30000000	1.40000000	0.22222222	1.21052632	2.31578947
21	Mattersburg	Graz	S	0.50000000	0.75000000	-0.30000000	-0.40000000	1.40000000	0.10000000	1.05000000	2.20000000
21	LASK	SKN	S	0.70000000	-1.60000000	0.60000000	-0.40000000	-1.40000000	-1.80000000	1.35000000	0.35000000
21	WAC	Altach	U	0.40000000	-0.20000000	-0.10000000	-1.20000000	0.50000000	-0.90000000	0.80000000	1.25000000
21	Salzburg	Admira	S	1.70000000	0.05000000	1.80000000	0.80000000	1.10000000	-1.00000000	2.15000000	1.55000000
21	Rapid	Austria	U	1.00000000	0.05000000	0.20000000	0.90000000	0.40000000	-0.30000000	1.70000000	1.30000000
22	Altach	Salzburg	N	0.52380952	1.28571429	0.50000000	-0.81818182	1.72727273	0.80000000	1.23809524	2.19047619
22	Austria	LASK	N	0.80952381	0.14285714	0.40000000	-0.27272727	0.63636364	-0.40000000	1.28571429	1.42857143
22	Graz	WAC	N	1.47619048	-0.61904762	1.40000000	0.00000000	-0.09090909	-1.20000000	2.09523810	0.80952381
22	SKN	Mattersburg	N	-0.23809524	-0.28571429	-1.40000000	-1.72727273	-0.18181818	-0.40000000	0.33333333	1.14285714
22	Admira	Rapid	S	1.23809524	0.52380952	1.10000000	-1.00000000	0.18181818	0.90000000	1.47619048	1.66666667
23	Rapid	Graz	U	0.95454545	0.59090909	0.18181818	0.72727273	1.18181818	0.00000000	1.59090909	2.00000000
23	LASK	Altach	S	0.81818182	-0.22727273	0.63636364	-0.18181818	0.36363636	-0.81818182	1.50000000	1.18181818
23	Mattersburg	Austria	S	0.63636364	-0.04545455	-0.18181818	-0.09090909	0.18181818	-0.27272727	1.22727273	1.22727273
23	WAC	Admira	N	0.40909091	0.04545455	-0.09090909	-1.00000000	1.09090909	-1.00000000	0.90909091	1.54545455
23	Salzburg	SKN	S	1.63636364	-1.63636364	1.72727273	0.81818182	-1.54545455	-1.72727273	2.22727273	0.31818182
24	Admira	Austria	S	1.30434783	-0.08695652	1.09090909	-0.75000000	0.18181818	-0.33333333	1.60869565	1.17391304
24	WAC	SKN	N	0.30434783	-1.73913043	-0.25000000	-1.00000000	-1.54545455	-1.91666667	0.86956522	0.30434783
24	Rapid	LASK	S	0.91304348	0.30434783	0.16666667	0.72727273	0.75000000	-0.18181818	1.56521739	1.56521739
24	Altach	Mattersburg	U	0.43478261	-0.08695652	0.36363636	-0.91666667	-0.08333333	-0.09090909	1.13043478	1.30434783
24	Graz	Salzburg	N	1.34782609	1.39130435	1.18181818	0.00000000	1.91666667	0.81818182	1.95652174	2.26086957
25	LASK	Graz	N	0.83333333	0.45833333	0.75000000	-0.33333333	0.91666667	0.00000000	1.50000000	1.87500000
25	SKN	Altach	N	-0.29166667	-0.29166667	-1.54545455	-1.69230769	0.33333333	-0.91666667	0.41666667	1.12500000
25	Austria	WAC	S	0.70833333	-0.62500000	0.18181818	-0.38461538	-0.30769231	-1.00000000	1.12500000	0.83333333
25	Mattersburg	Admira	S	0.66666667	0.16666667	-0.08333333	-0.08333333	1.08333333	-0.75000000	1.29166667	1.66666667
25	Salzburg	Rapid	S	1.83333333	0.50000000	1.91666667	0.91666667	0.30769231	0.72727273	2.29166667	1.62500000
26	Altach	Rapid	U	0.48000000	0.44000000	0.33333333	-0.76923077	0.30769231	0.58333333	1.20000000	1.56000000
26	Austria	SKN	S	0.76000000	-1.60000000	0.33333333	-0.38461538	-1.50000000	-1.69230769	1.20000000	0.40000000
26	WAC	LASK	N	0.24000000	0.12000000	-0.30769231	-1.08333333	0.53846154	-0.33333333	0.80000000	1.44000000
26	Admira	Graz	N	1.32000000	0.52000000	1.08333333	-0.76923077	0.91666667	0.15384615	1.60000000	1.92000000
26	Mattersburg	Salzburg	U	0.68000000	1.40000000	0.00000000	-0.08333333	1.84615385	0.91666667	1.36000000	2.32000000
27	Rapid	WAC	S	0.88461538	-0.76923077	0.30769231	0.53846154	-0.50000000	-1.08333333	1.53846154	0.76923077
27	Graz	Altach	S	1.34615385	-0.23076923	0.91666667	0.28571429	0.30769231	-0.76923077	1.96153846	1.19230769
27	LASK	Mattersburg	S	0.80769231	-0.03846154	0.53846154	-0.07692308	0.00000000	-0.08333333	1.50000000	1.34615385
27	SKN	Admira	N	-0.30769231	0.03846154	-1.50000000	-1.85714286	0.84615385	-0.76923077	0.38461538	1.53846154
27	Salzburg	Austria	S	1.80769231	0.11538462	1.84615385	0.84615385	0.61538462	-0.38461538	2.26923077	1.26923077
28	Admira	LASK	N	1.22222222	0.29629630	0.84615385	-0.64285714	0.64285714	-0.07692308	1.59259259	1.55555556
28	Austria	Altach	S	0.85185185	-0.25925926	0.61538462	-0.71428571	0.30769231	-0.78571429	1.22222222	1.14814815
28	SKN	Graz	N	-0.33333333	0.59259259	-1.46153846	-1.85714286	0.92307692	0.28571429	0.37037037	2.00000000
28	Salzburg	WAC	S	1.92592593	-0.88888889	2.07142857	0.84615385	-0.50000000	-1.30769231	2.29629630	0.74074074
28	Mattersburg	Rapid	N	0.66666667	0.55555556	0.00000000	-0.23076923	0.57142857	0.53846154	1.29629630	1.59259259
29	Graz	Austria	N	1.46428571	-0.03571429	0.92307692	0.53333333	0.64285714	-0.71428571	2.03571429	1.28571429
29	Altach	Admira	N	0.46428571	0.03571429	0.30769231	-0.80000000	0.71428571	-0.64285714	1.10714286	1.53571429
29	Rapid	SKN	S	1.10714286	-1.75000000	0.57142857	0.64285714	-1.64285714	-1.85714286	1.64285714	0.35714286
29	WAC	Mattersburg	N	0.14285714	-0.17857143	-0.50000000	-1.35714286	-0.13333333	-0.23076923	0.71428571	1.25000000
29	LASK	Salzburg	S	0.85714286	1.50000000	0.64285714	0.00000000	2.06666667	0.84615385	1.60714286	2.32142857
30	Graz	Mattersburg	S	1.34482759	-0.10344828	0.71428571	0.53333333	-0.13333333	-0.07142857	1.96551724	1.31034483
30	SKN	LASK	N	-0.41379310	0.34482759	-1.64285714	-1.80000000	0.66666667	0.00000000	0.34482759	1.65517241
30	Altach	WAC	S	0.41379310	-0.96551724	0.21428571	-0.80000000	-0.60000000	-1.35714286	1.06896552	0.68965517
30	Austria	Rapid	N	0.89655172	0.62068966	0.64285714	-0.53333333	0.60000000	0.64285714	1.34482759	1.68965517
30	Admira	Salzburg	N	1.17241379	1.41379310	0.71428571	-0.53333333	2.06666667	0.71428571	1.58620690	2.24137931
31	WAC	Graz	S	0.10000000	0.70000000	-0.60000000	-1.33333333	0.86666667	0.53333333	0.66666667	2.00000000
31	LASK	Austria	S	0.93333333	-0.10000000	0.66666667	0.13333333	0.33333333	-0.53333333	1.70000000	1.30000000
31	Mattersburg	SKN	U	0.60000000	-1.73333333	-0.13333333	-0.26666667	-1.66666667	-1.80000000	1.26666667	0.33333333
31	Salzburg	Altach	S	2.00000000	-0.26666667	2.06666667	0.93333333	0.26666667	-0.80000000	2.26666667	1.13333333
31	Rapid	Admira	S	1.20000000	-0.06666667	0.60000000	0.86666667	0.40000000	-0.53333333	1.73333333	1.53333333
32	Austria	Mattersburg	N	0.70967742	-0.19354839	0.33333333	-0.56250000	-0.12500000	-0.26666667	1.25806452	1.25806452
32	Altach	LASK	N	0.45161290	0.41935484	0.26666667	-0.87500000	0.68750000	0.13333333	1.09677419	1.74193548
32	Admira	WAC	S	1.00000000	-0.90322581	0.40000000	-0.68750000	-0.50000000	-1.33333333	1.48387097	0.74193548
32	Graz	Rapid	S	1.38709677	0.80645161	0.86666667	0.43750000	0.75000000	0.86666667	1.93548387	1.77419355
32	SKN	Salzburg	N	-0.41935484	1.51612903	-1.66666667	-1.68750000	2.06250000	0.93333333	0.35483871	2.29032258
33	LASK	Rapid	N	0.96875000	0.71875000	0.68750000	0.25000000	0.75000000	0.68750000	1.78125000	1.71875000
33	SKN	WAC	N	-0.46875000	-0.93750000	-1.68750000	-1.68750000	-0.50000000	-1.37500000	0.34375000	0.71875000
33	Austria	Admira	U	0.65625000	-0.09375000	0.25000000	-0.56250000	0.50000000	-0.68750000	1.21875000	1.53125000
33	Mattersburg	Altach	N	0.65625000	-0.37500000	-0.12500000	-0.18750000	0.12500000	-0.87500000	1.31250000	1.06250000
33	Salzburg	Graz	S	2.00000000	0.68750000	2.06250000	1.00000000	0.93750000	0.43750000	2.31250000	1.96875000
34	Graz	LASK	S	1.39393939	0.39393939	0.93750000	0.23529412	0.52941176	0.25000000	1.90909091	1.72727273
34	Admira	Mattersburg	U	1.00000000	-0.18181818	0.50000000	-0.64705882	-0.17647059	-0.18750000	1.51515152	1.27272727
34	Altach	SKN	N	0.39393939	-1.66666667	0.12500000	-0.76470588	-1.64705882	-1.68750000	1.12121212	0.33333333
34	Rapid	Salzburg	N	1.30303030	1.57575758	0.75000000	0.76470588	2.11764706	1.00000000	1.75757576	2.33333333
34	WAC	Austria	S	0.21212121	-0.15151515	-0.50000000	-1.23529412	0.23529412	-0.56250000	0.78787879	1.21212121
35	Rapid	Altach	S	1.17647059	-0.38235294	0.52941176	0.76470588	0.00000000	-0.76470588	1.70588235	1.08823529
35	Salzburg	Mattersburg	S	2.08823529	-0.17647059	2.11764706	1.11764706	-0.17647059	-0.17647059	2.35294118	1.26470588
35	SKN	Austria	S	-0.38235294	-0.17647059	-1.64705882	-1.47058824	0.23529412	-0.58823529	0.41176471	1.17647059
35	Graz	Admira	S	1.41176471	-0.08823529	1.00000000	0.23529412	0.47058824	-0.64705882	1.94117647	1.50000000
35	LASK	WAC	N	0.88235294	-0.82352941	0.52941176	0.11764706	-0.41176471	-1.23529412	1.67647059	0.85294118
36	Admira	SKN	N	0.94285714	-1.45714286	0.47058824	-0.72222222	-1.44444444	-1.47058824	1.45714286	0.48571429
36	Austria	Salzburg	S	0.62857143	1.60000000	0.23529412	-0.66666667	2.05555556	1.11764706	1.14285714	2.37142857
36	Mattersburg	LASK	S	0.60000000	0.25714286	-0.17647059	-0.22222222	0.38888889	0.11764706	1.22857143	1.62857143
36	Altach	Graz	U	0.34285714	0.65714286	0.00000000	-0.88888889	1.05555556	0.23529412	1.05714286	1.97142857
36	WAC	Rapid	U	0.31428571	0.71428571	-0.41176471	-1.05555556	0.66666667	0.76470588	0.91428571	1.74285714
